time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,60.00,1
3,0.00,0.00,0.00,0.00,60.00,1
5,0.00,0.00,0.00,0.00,41.30,1
7,0.00,0.00,0.00,0.00,51.50,1
9,0.00,0.00,0.00,0.00,57.85,2
11,0.00,0.00,0.00,0.00,57.35,2
13,0.00,0.00,0.00,0.00,58.95,2
15,0.00,0.00,0.00,0.00,59.80,2
17,0.00,0.00,0.09,1.11,41.50,7
19,0.00,0.00,0.00,0.00,52.30,7
21,0.00,0.00,0.00,0.00,59.30,7
23,0.00,0.00,0.00,0.00,58.30,7
25,0.00,0.00,0.00,0.00,39.50,8
27,0.00,0.00,0.00,0.00,19.10,8
29,0.00,0.00,0.10,1.20,54.60,8
31,0.00,0.00,0.27,3.20,59.20,8
33,0.00,0.00,0.00,0.00,50.85,8
35,0.00,0.00,0.00,0.00,50.80,7
37,0.00,0.00,0.00,0.00,49.73,7
39,0.00,0.00,0.00,0.00,47.45,7
41,0.00,0.00,0.00,0.00,53.90,7
43,0.00,0.00,0.17,2.00,43.60,6
45,0.00,0.00,0.00,0.00,38.67,6
47,0.38,1.50,0.10,1.14,36.34,6
49,1.92,7.69,0.26,3.14,42.25,6
51,2.28,9.14,0.53,5.14,46.99,8
53,0.00,0.00,0.67,4.79,41.62,8
55,0.24,0.95,0.61,5.23,33.64,8
57,2.00,5.67,1.11,7.23,32.64,8
59,2.07,5.49,1.41,9.23,32.01,1
61,2.65,5.49,1.86,11.23,27.52,1
63,2.87,5.49,2.19,13.23,26.44,1
65,4.80,5.39,3.01,15.23,29.63,1
67,3.94,5.26,3.86,17.23,27.85,7
69,3.83,5.25,2.52,14.28,27.58,7
71,5.00,9.73,2.88,16.28,25.33,7
73,5.52,11.83,3.54,18.28,23.08,7
75,4.63,7.96,3.19,13.93,18.76,5
77,2.82,5.71,3.95,15.93,18.75,5
79,4.49,12.41,3.96,17.93,17.48,5
81,5.96,18.30,4.89,19.93,27.16,5
83,5.92,18.13,5.89,21.93,33.50,8
85,3.40,5.55,5.10,21.85,35.87,8
87,1.68,5.55,4.68,23.85,31.94,8
89,2.66,5.46,5.35,25.85,35.48,8
91,2.18,5.04,5.32,27.85,35.71,3
93,3.87,5.28,2.10,14.76,33.68,3
95,5.12,10.22,2.50,16.76,31.34,3
97,5.75,12.06,3.17,18.76,32.57,3
99,5.01,9.80,3.97,20.76,31.35,3
101,5.41,16.42,4.35,22.76,28.63,3
103,5.80,17.99,4.75,24.76,27.00,3
105,6.68,17.99,5.51,26.76,26.93,4
107,8.18,17.99,6.49,28.76,25.34,4
109,8.59,17.99,6.59,30.76,27.44,4
111,6.62,17.99,6.76,32.76,25.45,4
113,5.35,17.99,5.82,34.76,23.97,1
115,6.40,17.99,5.79,36.76,21.73,1
117,7.31,17.99,6.64,38.76,20.98,1
119,8.93,17.97,7.98,40.76,18.73,1
121,6.39,12.60,6.71,24.09,20.62,6
123,4.63,12.60,5.77,26.09,21.64,6
125,6.01,12.60,3.99,13.11,27.73,6
127,5.56,11.26,4.74,15.11,27.26,6
129,2.82,11.26,3.42,17.11,25.70,7
131,3.23,11.26,2.15,19.11,19.79,7
133,4.00,11.26,2.65,21.11,28.73,7
135,4.10,10.84,3.17,23.11,32.97,7
137,3.21,4.76,2.50,16.15,35.96,6
139,2.34,4.74,1.40,10.44,36.62,6
141,2.23,5.14,1.90,12.44,39.38,6
143,1.15,4.60,2.40,14.44,27.46,6
145,1.15,4.60,1.33,10.19,22.17,3
147,5.11,7.65,1.72,12.19,21.02,3
149,8.13,11.34,2.43,14.19,26.47,3
151,6.25,10.78,3.26,16.19,31.77,3
153,2.61,5.27,2.38,8.86,36.66,3
155,2.46,5.27,1.92,10.34,36.26,6
157,2.46,5.27,1.74,12.34,33.02,6
159,3.45,7.31,2.36,14.34,32.33,6
161,5.53,11.50,3.21,16.34,35.41,6
163,4.55,7.63,4.21,18.34,40.89,6
