time,value
1,0.03
5,0.02
9,0.03
13,0.01
17,0.03
21,0.02
25,0.04
29,0.03
33,0.04
37,0.03
41,0.08
45,0.04
49,0.03
53,0.04
57,0.12
61,0.03
65,0.16
69,0.06
73,0.13
77,0.06
81,0.11
85,0.05
89,0.09
93,0.04
97,0.11
101,0.03
105,0.09
109,0.03
113,0.06
117,0.05
121,0.10
125,0.41
129,0.10
133,0.15
137,0.08
141,0.14
145,0.07
149,0.11
153,0.30
157,0.06
161,0.07
165,0.10
169,0.11
173,0.15
177,0.06
181,0.16
185,0.09
189,0.09
193,0.14
197,0.21
201,0.12
205,0.15
209,0.17
213,0.07
217,0.12
221,0.12
225,0.12
229,0.09
233,0.36
237,0.21
241,0.07
245,0.24
249,0.12
253,0.18
257,0.09
261,0.14
265,0.07
269,0.24
273,0.13
277,0.16
281,0.23
285,0.20
289,0.12
293,0.26
297,0.28
301,0.28
305,0.40
309,0.11
313,0.24
317,0.16
321,0.18
325,0.20
329,0.24
333,0.08
337,0.20
341,0.30
345,0.24
349,0.12
353,0.21
357,0.09
361,0.21
365,0.17
369,0.12
373,0.20
377,0.14
381,0.19
385,0.21
389,0.09
393,0.21
397,0.07
401,0.14
405,0.21
409,0.14
413,0.10
417,0.25
421,0.09
425,0.15
429,0.09
433,0.13
437,0.11
441,0.16
445,0.06
449,0.11
453,0.07
457,0.06
461,0.22
465,0.19
469,0.27
473,0.09
477,0.12
481,0.13
485,0.09
489,0.23
493,0.08
497,0.26
501,0.24
505,0.17
509,0.13
513,0.19
517,0.22
521,0.27
525,0.17
529,0.27
533,0.27
537,0.20
541,0.14
545,0.24
549,0.21
553,0.32
557,0.15
561,0.32
565,0.14
569,0.18
573,0.18
577,0.24
581,0.14
585,0.22
589,0.14
593,0.20
597,0.16
601,0.22
605,0.11
609,0.19
613,0.16
617,0.16
621,0.17
625,0.24
629,0.28
633,0.38
637,0.22
641,0.15
645,0.27
649,0.23
653,0.18
657,0.25
661,0.24
665,0.08
669,0.13
673,0.21
677,0.11
681,0.28
685,0.30
689,0.13
693,0.09
697,0.13
701,0.10
705,0.25
709,0.23
713,0.19
717,0.28
721,0.19
725,0.42
729,0.41
733,0.22
737,0.22
741,0.10
745,0.22
749,0.19
753,0.19
757,0.12
761,0.20
765,0.19
769,0.32
773,0.10
777,0.23
781,0.25
785,0.21
789,0.38
793,0.28
797,0.27
801,0.17
805,0.28
809,0.30
813,0.14
817,0.22
821,0.21
825,0.18
829,0.31
833,0.23
837,0.42
841,0.25
845,0.44
849,0.51
853,0.30
857,0.18
861,0.38
865,0.35
869,0.40
873,0.24
877,0.38
881,0.27
885,0.29
889,0.34
893,0.14
897,0.30
901,0.21
905,0.40
909,0.19
913,0.38
917,0.12
921,0.25
925,0.30
929,0.17
933,0.33
937,0.33
941,0.42
945,0.27
949,0.13
953,0.22
957,0.22
961,0.23
965,0.17
969,0.19
973,0.30
977,0.17
981,0.19
985,0.36
989,0.17
993,0.23
997,0.58
