time,queue_main,queue_right,queue_avg,queue_max,delay_direction_1,delay_direction_2,delay_direction_3,delay_avg_1,delay_avg_2,delay_max,speed
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00
23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.60
25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.10
27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.75
29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.35
31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.85
33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.45
35,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.12,0.12,0.37,12.40
37,0.00,3.58,1.79,3.58,0.00,0.00,2.37,0.79,0.79,2.37,2.40
39,0.00,9.26,4.63,9.26,0.00,0.00,4.37,1.46,1.46,4.37,0.00
41,0.00,11.86,5.93,11.86,0.00,0.00,6.37,2.12,2.12,6.37,0.00
43,0.00,11.85,5.92,11.85,0.00,0.00,8.37,2.79,2.79,8.37,0.00
45,0.00,11.85,5.92,11.85,0.00,0.00,10.37,3.46,3.46,10.37,0.00
47,0.00,11.85,5.92,11.85,0.00,0.00,12.37,4.12,4.12,12.37,0.00
49,0.00,11.85,5.92,11.85,0.00,0.00,14.37,4.79,4.79,14.37,0.00
51,0.00,11.85,5.92,11.85,0.00,0.00,16.37,5.46,5.46,16.37,0.00
53,0.00,11.85,5.92,11.85,0.00,0.00,18.37,6.12,6.12,18.37,0.00
55,0.00,11.85,5.92,11.85,0.00,0.00,20.37,6.79,6.79,20.37,13.83
57,0.00,11.85,5.92,11.85,0.00,0.00,22.37,7.46,7.46,22.37,17.07
59,0.00,11.85,5.92,11.85,0.00,0.00,24.37,8.12,8.12,24.37,29.45
61,0.00,11.85,5.92,11.85,0.00,0.00,26.37,8.79,8.79,26.37,29.73
63,0.00,11.84,5.92,11.84,0.00,0.00,28.37,9.46,9.46,28.37,33.57
65,0.00,11.48,5.74,11.48,0.00,0.00,30.37,10.12,10.12,30.37,23.63
67,0.00,9.95,4.97,9.95,0.00,0.00,31.50,10.50,10.50,31.50,13.47
69,0.00,14.94,7.47,14.94,0.23,0.00,33.50,11.25,11.25,33.50,9.23
71,0.00,15.85,7.93,15.85,2.23,0.00,35.50,12.58,12.58,35.50,9.60
