time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,60.00,1
3,0.00,0.00,0.00,0.00,60.00,1
5,0.00,0.00,0.00,0.00,38.30,1
7,0.00,0.00,0.00,0.00,43.85,1
9,0.00,0.00,0.00,0.00,52.77,1
11,0.00,0.00,0.00,0.00,58.00,1
13,0.00,0.00,0.00,0.00,55.90,1
15,0.00,0.00,0.00,0.00,49.83,1
17,0.00,0.00,0.15,1.81,41.25,1
19,0.19,0.75,0.41,3.81,40.59,1
21,0.77,3.10,0.87,5.81,44.65,1
23,1.64,6.57,0.73,7.81,44.08,3
25,2.64,10.55,0.82,9.81,38.65,3
27,2.64,10.54,0.98,11.81,36.19,3
29,3.89,15.54,0.74,8.85,34.10,3
31,2.33,9.32,1.02,10.85,30.31,3
33,1.66,5.16,1.04,7.52,30.38,3
35,2.61,5.30,1.44,6.34,34.64,3
37,2.59,5.22,1.08,7.40,36.24,3
39,2.59,5.22,1.47,9.40,36.79,2
41,2.59,5.22,1.89,11.40,33.84,2
43,3.88,10.30,2.39,13.40,33.12,2
45,4.22,11.66,2.89,15.40,26.36,2
47,5.87,18.26,2.90,17.40,18.50,2
49,7.34,19.15,3.45,19.40,12.72,2
51,10.31,29.67,4.11,21.40,8.99,2
53,12.14,30.51,4.78,23.40,6.93,2
55,12.09,30.51,5.52,25.40,3.62,2
57,12.09,30.51,6.36,27.40,7.94,2
59,12.09,30.51,7.19,29.40,14.66,4
61,12.09,30.51,8.02,31.40,15.80,4
63,12.09,30.51,8.86,33.40,16.36,4
65,11.25,30.51,9.69,35.40,15.67,4
67,9.08,30.51,9.04,37.40,15.18,4
69,9.08,30.51,8.58,39.40,14.98,4
71,10.23,30.51,9.25,41.40,19.53,4
73,10.69,30.51,10.11,43.40,18.61,4
75,12.00,30.51,11.11,45.40,14.27,4
77,11.96,30.51,12.11,47.40,8.67,4
79,13.07,34.95,13.23,49.40,4.27,1
81,15.42,38.99,14.40,51.40,1.62,1
83,18.39,44.26,15.69,53.40,6.49,1
85,17.88,44.13,17.16,55.40,10.22,1
87,16.73,44.13,14.57,46.92,12.47,1
89,16.73,44.13,9.98,43.81,15.95,1
91,16.44,42.95,10.66,43.99,17.88,1
93,15.71,40.05,11.13,41.58,15.65,1
95,7.20,17.59,12.04,43.58,16.72,1
97,8.73,23.85,10.83,42.94,15.55,1
99,8.67,23.63,11.54,44.94,19.12,1
101,8.67,23.63,12.54,46.94,17.60,1
103,10.37,23.63,11.94,48.94,17.88,3
105,11.19,23.63,12.19,50.94,11.75,3
107,11.14,23.63,13.29,52.94,12.52,3
109,7.82,23.63,14.45,54.94,14.90,3
111,5.91,23.63,8.09,44.07,22.09,3
113,5.91,23.63,8.02,46.07,25.84,2
115,5.91,23.63,8.74,48.07,30.60,2
117,5.91,23.63,9.36,50.07,35.36,2
119,5.91,23.63,10.02,52.07,36.47,2
121,4.60,18.42,9.76,42.92,34.02,2
123,1.30,5.21,6.83,41.50,32.04,2
125,3.30,5.21,6.56,30.40,31.19,2
127,5.25,10.04,4.63,25.55,33.71,2
129,5.24,9.98,5.50,27.55,34.33,2
131,6.49,9.98,6.75,29.55,29.39,2
133,6.55,9.98,7.85,31.55,26.38,2
135,8.22,10.65,8.62,33.55,23.38,4
137,10.40,13.92,10.11,35.55,20.13,4
139,11.50,16.73,10.40,37.55,18.10,4
141,12.07,16.92,8.49,35.16,17.31,4
143,7.81,16.17,7.66,20.91,18.38,4
145,8.00,15.26,5.90,22.91,18.59,4
147,8.89,17.65,6.77,24.91,21.15,4
149,8.88,17.64,7.33,26.91,22.27,4
151,8.88,17.64,7.53,28.91,23.84,4
153,8.88,17.64,8.06,30.91,20.68,1
155,9.27,17.64,9.07,32.91,14.87,1
157,11.15,17.64,10.25,34.91,15.10,1
159,11.75,17.64,11.24,36.91,12.24,1
161,12.18,17.64,11.37,38.91,13.66,1
163,13.46,19.54,11.20,40.91,13.84,1
