time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,60.00,1
3,0.00,0.00,0.00,0.00,36.40,1
5,0.00,0.00,0.00,0.00,47.75,1
7,0.00,0.00,0.00,0.00,56.45,1
9,0.00,0.00,0.00,0.00,58.00,1
11,0.00,0.00,0.00,0.00,55.22,1
13,0.00,0.00,0.00,0.00,49.87,1
15,0.00,0.00,0.12,1.49,44.60,1
17,0.00,0.00,0.29,3.49,39.40,1
19,1.72,6.89,0.46,5.49,38.79,1
21,2.75,10.98,0.62,7.49,33.36,1
23,5.12,20.47,0.79,9.49,26.84,3
25,5.72,22.87,1.09,11.49,23.79,3
27,5.88,23.53,1.52,13.49,19.31,3
29,7.74,29.04,1.77,12.68,15.47,3
31,8.30,28.85,2.43,14.68,25.62,3
33,5.57,14.11,2.72,12.14,28.49,3
35,5.49,11.60,3.37,13.92,28.78,3
37,5.60,12.03,2.71,13.59,28.09,3
39,5.60,12.03,3.21,15.59,27.74,2
41,5.60,12.03,3.71,17.59,22.28,2
43,6.07,13.91,4.21,19.59,18.73,2
45,8.94,18.97,4.73,21.59,16.17,2
47,10.48,18.87,4.81,23.59,17.74,2
49,10.55,18.87,5.19,25.59,16.62,2
51,10.51,18.87,5.41,27.59,16.18,2
53,10.51,18.87,6.19,29.59,17.78,2
55,10.51,18.87,6.92,31.59,15.20,2
57,11.17,18.87,7.85,33.59,13.36,2
59,12.04,18.87,9.02,35.59,15.32,2
61,12.03,18.87,10.18,37.59,14.56,2
63,12.03,18.87,10.84,39.59,13.86,4
65,14.24,23.41,11.84,41.59,13.11,4
67,15.16,25.26,12.84,43.59,16.36,4
69,15.15,25.22,13.84,45.59,18.14,4
71,15.94,28.46,14.11,43.19,18.28,4
73,10.68,30.25,14.52,45.19,18.05,4
75,11.16,30.25,13.90,47.19,18.15,4
77,12.19,30.25,14.15,49.19,16.44,4
79,12.86,31.69,15.48,51.19,12.79,1
81,16.25,41.82,16.87,53.19,10.99,1
83,16.44,42.69,17.87,55.19,8.36,1
85,19.48,42.69,19.34,57.19,9.18,1
87,19.55,42.69,17.29,56.45,11.57,1
89,19.55,42.69,14.57,46.49,15.95,1
91,17.73,35.41,14.09,46.23,18.21,1
93,14.91,23.45,12.69,48.23,18.10,1
95,15.01,23.85,13.05,50.23,17.41,1
97,15.01,23.85,13.91,52.23,13.68,1
99,15.85,27.22,13.31,54.23,11.09,3
101,17.49,30.15,14.17,56.23,10.17,3
103,18.12,30.13,15.21,58.23,10.84,3
105,19.37,35.24,15.88,60.23,13.63,3
107,17.82,36.59,14.16,46.81,15.27,3
109,13.91,36.22,13.50,48.81,14.45,3
111,11.01,34.94,12.29,50.81,12.93,3
113,8.85,31.08,9.99,32.59,10.37,3
115,7.70,26.46,8.49,34.59,12.82,3
117,9.97,35.55,9.16,36.59,15.02,2
119,10.52,37.76,9.82,38.59,15.28,2
121,10.52,37.75,10.49,40.59,14.01,2
123,10.52,37.75,11.18,42.59,17.78,2
125,11.02,39.76,8.95,39.92,17.47,2
127,13.18,48.39,9.20,41.92,23.91,2
129,14.65,54.27,9.35,43.92,22.26,2
131,15.02,55.74,9.53,45.92,23.43,2
133,9.23,31.40,8.85,47.92,22.71,2
135,8.93,31.40,8.91,49.92,19.95,2
137,8.93,31.40,9.54,51.92,18.33,2
139,9.79,31.40,9.52,53.92,14.15,4
141,14.87,41.20,10.27,55.92,13.27,4
143,16.20,43.09,10.33,57.92,16.34,4
145,15.69,43.09,6.60,59.92,17.98,4
147,13.98,43.09,5.66,52.25,22.21,4
149,15.38,43.09,4.45,43.86,26.00,4
151,15.96,42.62,4.72,41.46,28.21,4
153,13.04,28.39,4.62,34.23,30.86,1
155,6.65,18.24,5.28,36.23,24.69,1
157,8.66,18.24,4.13,22.64,17.48,1
159,9.98,18.24,4.97,24.64,8.42,1
161,11.74,23.20,5.93,26.64,8.90,1
163,13.15,28.86,6.62,28.64,9.08,1
165,14.76,35.28,7.46,30.64,15.43,1
167,15.19,37.03,8.29,32.64,20.72,1
169,15.19,37.02,9.12,34.64,22.06,3
171,15.19,37.02,9.97,36.64,19.86,3
173,15.19,37.02,10.79,38.64,17.05,3
175,15.16,37.02,11.83,40.64,19.40,3
177,13.09,41.57,12.72,42.64,17.63,3
179,15.00,43.63,12.94,44.64,17.31,3
181,15.95,46.47,11.39,46.64,14.19,3
183,16.50,48.69,12.56,48.64,9.93,3
185,16.63,47.29,13.83,50.64,9.90,3
187,14.76,34.70,15.16,52.64,11.13,2
189,15.78,38.86,16.49,54.64,10.90,2
191,18.59,44.15,17.97,56.64,14.69,2
193,18.86,44.11,19.47,58.64,17.29,2
195,16.56,45.87,18.60,60.64,18.68,2
197,16.88,50.59,18.23,62.64,18.67,2
199,17.28,50.49,17.54,64.64,21.86,2
201,15.15,32.11,17.54,66.64,23.23,2
203,16.15,34.78,18.58,68.64,22.93,2
205,16.74,37.13,17.07,70.64,20.90,2
207,16.83,37.12,17.28,72.64,17.97,2
209,19.65,37.12,17.33,74.64,13.81,4
211,21.21,41.76,18.33,76.64,10.51,4
213,23.53,50.29,19.35,78.64,10.22,4
215,25.02,50.13,14.10,80.64,10.31,4
217,28.38,60.02,13.40,79.20,11.03,4
219,30.13,81.73,10.13,41.58,14.50,4
221,27.82,81.97,10.16,37.25,16.37,4
223,27.63,81.97,8.80,39.25,17.83,4
225,28.51,81.97,9.15,41.25,19.72,1
227,30.96,91.88,8.86,43.25,17.44,1
229,33.40,101.63,8.96,45.25,16.41,1
231,33.79,101.72,9.89,47.25,15.75,1
233,33.79,101.57,9.88,35.16,14.90,1
235,33.91,99.70,9.24,32.21,17.19,1
237,19.40,38.49,9.56,34.21,19.31,1
239,20.53,40.82,9.09,36.21,19.33,3
241,22.70,43.42,8.95,38.21,18.48,3
243,23.08,43.40,9.46,40.21,16.78,3
245,23.27,44.10,10.63,42.21,18.47,3
247,24.38,49.68,10.62,42.12,19.09,3
249,20.19,54.26,10.42,38.25,17.07,3
251,20.37,55.96,10.39,40.25,13.50,2
253,21.46,55.95,11.40,42.25,10.44,2
255,23.18,61.42,11.31,44.25,8.50,2
257,29.50,75.39,12.68,46.25,8.15,2
259,31.50,82.22,11.83,48.25,9.85,2
261,29.11,85.38,12.67,50.25,10.35,2
263,31.63,87.62,12.13,52.25,11.74,2
265,31.59,87.60,12.41,54.25,12.22,2
267,31.59,87.60,12.39,56.25,10.80,2
269,32.82,92.53,13.56,58.25,6.39,2
271,35.61,98.33,14.75,60.25,3.98,4
273,38.34,103.94,16.14,62.25,4.10,4
275,43.32,114.00,17.64,64.25,2.87,4
277,45.24,117.73,17.38,66.25,3.15,4
279,47.87,129.90,17.32,65.29,5.65,4
281,47.70,132.46,17.22,67.29,8.24,4
283,46.29,132.45,18.55,69.29,8.25,4
285,46.90,134.90,18.45,70.40,7.95,4
287,47.93,139.02,19.43,69.40,8.20,4
289,49.09,140.90,20.77,71.40,9.94,1
291,52.37,149.41,22.05,72.78,10.66,1
293,53.59,154.35,23.36,73.31,10.90,1
295,54.92,159.73,22.97,52.09,9.97,1
297,53.42,159.64,20.37,54.09,9.72,3
299,53.42,159.64,21.39,56.09,9.78,3
301,54.76,159.64,19.87,58.09,9.45,3
303,55.37,159.64,16.91,60.09,12.10,3
305,56.94,159.64,17.74,62.09,13.37,3
307,57.69,159.64,18.78,64.09,13.91,3
309,57.96,159.56,19.65,66.09,15.80,3
311,37.04,73.85,20.57,68.09,16.24,2
313,28.81,55.01,21.73,70.09,15.95,2
315,29.76,53.15,21.77,72.09,15.90,2
317,18.81,43.62,23.10,74.09,17.20,2
319,18.87,43.90,22.27,76.09,17.93,2
321,22.90,50.27,20.60,78.09,16.57,2
323,26.32,50.11,21.67,80.09,15.44,2
325,27.67,50.48,22.49,82.09,12.73,4
327,28.87,55.33,23.71,84.09,10.06,4
329,34.68,75.11,23.86,86.09,8.03,4
331,36.89,83.51,25.53,88.09,9.06,4
333,34.70,83.39,26.74,85.65,11.01,4
335,35.79,83.39,26.39,76.39,10.95,4
337,36.29,83.39,27.78,73.85,11.79,4
339,36.28,83.39,28.96,68.98,9.99,4
341,36.28,83.39,29.78,67.89,7.76,4
343,36.90,83.36,31.18,69.89,6.06,4
345,30.42,53.33,31.50,71.89,4.89,1
347,23.43,45.05,32.97,73.89,3.55,1
349,26.62,45.05,32.66,75.89,3.73,1
351,28.06,45.05,34.33,77.89,8.10,1
353,25.65,45.05,31.56,79.89,10.00,3
355,25.39,45.05,32.52,81.89,6.74,3
357,26.73,47.11,32.18,83.89,7.97,3
359,25.78,51.37,32.70,85.89,11.44,3
361,24.09,51.31,30.02,72.45,14.40,3
363,24.09,51.31,28.81,73.43,14.32,3
365,23.99,51.31,29.91,75.43,15.98,3
367,20.16,51.31,30.26,77.43,14.92,3
