time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,60.00,1
3,0.00,0.00,0.00,0.00,32.90,1
5,0.00,0.00,0.00,0.00,44.70,1
7,0.00,0.00,0.00,0.00,54.55,1
9,0.00,0.00,0.00,0.00,58.55,3
11,0.00,0.00,0.00,0.00,55.23,3
13,0.00,0.00,0.00,0.00,53.04,3
15,0.00,0.00,0.08,0.99,50.93,3
17,0.00,0.00,0.25,2.99,52.82,2
19,0.00,0.00,0.06,0.66,52.00,2
21,0.00,0.00,0.00,0.00,48.83,2
23,0.00,0.00,0.04,0.42,40.83,2
25,0.00,0.00,0.28,2.42,30.22,1
27,0.11,0.43,0.51,4.42,30.34,1
29,1.34,4.40,0.91,6.42,24.78,1
31,3.13,7.31,0.70,4.73,28.79,1
33,1.30,5.22,1.15,6.73,37.14,4
35,1.31,5.24,1.37,8.73,37.36,4
37,1.25,4.99,1.34,10.73,41.37,4
39,1.25,4.99,1.68,12.73,43.00,4
41,1.25,4.99,0.92,9.40,36.42,2
43,1.41,4.99,0.99,11.40,31.13,2
45,2.66,5.74,1.63,13.40,29.26,2
47,2.73,6.08,2.29,15.40,23.34,2
49,2.74,5.81,2.03,6.29,28.93,1
51,2.81,5.81,2.30,8.29,26.95,1
53,4.38,5.72,3.47,10.29,31.70,1
55,5.28,5.57,4.29,12.29,27.27,1
57,5.27,5.57,2.97,14.29,20.96,1
59,5.27,5.57,3.64,16.29,19.90,3
61,5.75,7.40,4.53,18.29,18.64,3
63,7.58,11.37,5.30,20.29,17.12,3
65,8.04,11.30,6.43,22.29,19.37,3
67,6.07,10.79,7.60,24.29,21.34,2
69,4.95,10.79,5.85,20.11,21.48,2
71,4.95,10.79,6.01,22.11,23.38,2
73,7.49,13.91,7.07,24.11,24.70,2
75,8.22,17.09,8.01,26.11,24.35,1
77,5.32,11.23,7.57,28.11,20.27,1
79,5.32,11.23,7.85,30.11,18.70,1
81,8.39,19.49,8.69,32.11,21.11,1
83,10.61,23.71,8.52,34.11,24.52,3
85,10.18,19.65,7.55,36.11,26.29,3
87,5.33,11.81,7.63,38.11,26.91,3
89,6.04,11.81,8.44,40.11,29.63,3
91,6.69,11.81,9.18,42.11,26.64,4
93,6.57,11.81,8.73,44.11,23.16,4
95,7.53,11.81,9.47,46.11,21.04,4
97,7.84,11.81,10.30,48.11,22.43,4
99,7.63,17.21,11.23,50.11,20.89,3
101,5.42,16.55,5.31,22.42,16.28,3
103,5.56,17.11,4.11,22.73,13.84,3
105,5.53,17.07,4.78,24.73,13.59,3
107,4.37,17.04,4.95,26.73,13.88,4
109,4.32,17.26,4.67,28.73,18.57,4
111,4.31,17.25,3.60,30.73,17.42,4
113,4.31,17.25,3.93,32.73,23.97,4
115,4.31,17.22,4.31,34.73,24.26,2
117,2.00,8.00,3.60,22.21,21.62,2
119,2.97,11.90,3.16,20.48,19.90,2
121,2.96,11.85,3.66,22.48,23.50,2
123,2.59,10.35,4.16,24.48,25.36,4
125,2.95,11.81,2.45,18.94,24.13,4
127,2.95,11.81,2.23,20.94,30.67,4
129,2.95,11.81,2.56,22.94,35.96,4
131,2.40,9.61,2.89,24.94,38.10,3
133,1.04,4.15,2.27,13.95,38.71,3
135,1.74,6.95,1.42,13.79,38.71,3
137,2.66,10.65,1.83,15.79,38.50,3
139,2.41,9.65,1.45,7.28,33.59,2
141,1.46,5.37,2.02,9.28,31.49,2
143,3.57,10.92,1.90,11.26,27.11,2
145,4.89,11.61,2.30,13.26,25.90,2
147,4.36,11.61,3.38,15.26,23.81,4
149,5.39,12.38,3.62,17.26,29.34,4
151,7.17,18.61,4.12,19.26,32.84,4
153,7.12,18.45,4.95,21.26,36.17,4
155,5.99,18.44,3.71,23.26,31.56,2
157,6.56,17.14,2.99,18.75,28.99,2
159,7.10,13.73,3.68,20.75,22.52,2
161,7.27,11.88,4.62,22.75,21.53,2
163,6.78,11.80,5.83,24.75,22.92,2
165,6.88,11.80,7.10,26.75,22.49,4
167,6.81,11.80,6.92,28.75,19.98,4
169,8.45,12.41,7.44,30.75,24.52,4
171,6.33,12.13,8.61,32.75,24.72,4
173,5.44,12.13,11.64,43.60,24.54,1
175,5.44,12.13,7.40,30.89,19.46,1
177,6.27,12.13,8.24,32.89,20.81,1
179,4.95,9.92,9.57,34.89,22.59,1
181,5.27,10.63,7.21,36.89,25.02,2
183,5.35,10.97,6.48,38.89,27.61,2
185,5.23,10.97,7.17,40.89,28.71,2
187,4.34,7.43,6.43,42.89,28.93,2
189,3.73,5.54,6.98,44.89,26.98,2
191,4.10,6.48,6.97,46.89,27.10,3
193,5.99,11.89,7.52,48.89,23.13,3
195,7.49,13.80,7.99,50.89,26.41,3
197,8.65,18.41,8.57,52.89,30.33,3
199,8.61,18.27,9.28,54.89,28.87,2
201,5.76,11.78,6.19,25.55,25.86,2
203,5.88,11.78,6.93,27.55,20.19,2
205,7.45,12.51,7.93,29.55,19.62,2
207,7.94,13.47,9.05,31.55,18.46,3
209,9.08,12.90,9.68,33.55,21.02,3
211,8.51,17.88,10.62,35.55,20.21,3
213,8.91,17.73,11.68,37.55,19.76,3
215,10.42,17.73,13.15,39.55,21.28,3
217,10.24,17.73,12.82,41.55,22.35,4
219,11.70,23.55,13.64,43.55,16.62,4
221,11.88,24.29,14.83,45.55,14.80,4
223,12.65,29.43,15.11,47.55,18.16,4
225,11.52,30.78,11.51,41.03,21.54,1
227,12.21,30.78,9.79,43.03,22.56,1
229,12.30,30.78,10.71,45.03,24.59,1
231,14.92,30.78,11.71,47.03,23.98,1
233,14.90,30.77,10.86,28.50,21.49,2
235,10.99,24.48,10.94,30.50,18.05,2
237,9.90,26.85,11.43,32.50,20.61,2
239,12.04,30.79,12.74,34.50,21.04,2
241,12.90,30.73,12.85,34.00,19.84,3
243,8.58,13.50,11.94,25.13,14.06,3
245,10.07,18.29,11.20,27.13,18.06,3
247,8.94,18.07,11.74,29.13,21.94,3
