time,value
5,0.03
9,0.02
13,0.03
17,0.04
21,0.05
25,0.08
29,0.02
33,0.10
37,0.03
41,0.02
45,0.05
49,0.01
53,0.04
57,0.09
61,0.04
65,0.06
69,0.07
73,0.12
77,0.05
81,0.10
85,0.06
89,0.11
93,0.07
97,0.09
101,0.10
105,0.11
109,0.07
113,0.10
117,0.06
121,0.12
125,0.07
129,0.08
133,0.07
137,0.10
141,0.14
145,0.13
149,0.55
153,0.14
157,0.09
161,0.24
165,0.08
169,0.22
173,0.06
177,0.17
181,0.18
185,0.22
189,0.48
193,0.31
197,0.08
201,0.25
205,0.37
209,0.08
213,0.23
217,0.15
221,0.30
225,0.18
229,0.14
233,0.20
237,0.32
241,0.13
245,0.10
249,0.12
253,0.28
257,0.12
261,0.15
265,0.11
269,0.16
273,0.14
277,0.20
281,0.30
285,0.13
289,0.28
293,0.17
297,0.42
301,0.19
305,0.22
309,0.21
313,0.37
317,0.14
321,0.12
325,0.28
329,0.37
333,0.20
337,0.20
341,0.12
345,0.35
349,0.21
353,0.28
357,0.15
361,0.21
365,0.19
369,0.40
373,0.26
377,0.26
381,0.16
385,0.27
389,0.13
393,0.28
397,0.48
401,0.40
405,0.11
409,0.16
413,0.17
417,0.14
421,0.12
425,0.06
429,0.24
433,0.08
437,0.21
441,0.18
445,0.18
449,0.09
453,0.25
457,0.06
461,0.24
465,0.10
469,0.21
473,0.13
477,0.25
481,0.11
485,0.14
489,0.17
493,0.05
497,0.26
501,0.07
505,0.14
509,0.07
513,0.09
517,0.08
521,0.20
525,0.06
529,0.18
533,0.06
537,0.15
541,0.17
545,0.29
549,0.12
553,0.28
557,0.38
561,0.11
565,0.29
569,0.13
573,0.25
577,0.29
581,0.26
585,0.21
589,0.13
593,0.19
597,0.22
601,0.22
605,0.15
609,0.40
613,0.19
617,0.20
621,0.27
625,0.24
629,0.12
633,0.29
637,0.22
641,0.27
645,0.19
649,0.35
653,0.27
657,0.42
661,0.18
665,0.30
669,0.28
673,0.29
677,0.31
681,0.10
685,0.24
689,0.18
693,0.26
697,0.29
701,0.08
705,0.21
709,0.07
713,0.21
717,0.13
721,0.17
725,0.11
729,0.27
733,0.17
737,0.24
741,0.11
745,0.22
749,0.19
753,0.30
757,0.15
761,0.09
765,0.23
769,0.41
773,0.19
777,0.14
781,0.08
785,0.04
789,0.13
793,0.04
797,0.06
801,0.04
805,0.09
809,0.05
813,0.08
817,0.05
821,0.06
825,0.04
829,0.12
833,0.15
837,0.33
841,0.15
845,0.08
849,0.16
853,0.14
857,0.16
861,0.09
865,0.12
869,0.08
873,0.11
877,0.32
881,0.08
885,0.11
889,0.15
893,0.12
897,0.26
901,0.13
905,0.24
909,0.14
913,0.24
917,0.12
921,0.27
925,0.13
929,0.19
933,0.24
937,0.14
941,0.21
945,0.47
949,0.40
953,0.08
957,0.21
961,0.24
965,0.19
969,0.29
973,0.14
977,0.35
981,0.17
985,0.24
989,0.22
993,0.10
997,0.26
