time,queue_avg,queue_max,delay_avg_1,delay_max,speed_avg,phase
1,0.00,0.00,0.00,0.00,35.70,1
3,0.00,0.00,0.00,0.00,50.00,1
5,0.00,0.00,0.00,0.00,62.00,1
7,0.00,0.00,0.00,0.00,59.65,1
9,0.00,0.00,0.00,0.00,58.53,1
11,0.00,0.00,0.00,0.00,61.50,1
13,0.00,0.00,0.07,0.86,54.93,1
15,0.00,0.00,0.00,0.00,52.47,1
17,0.00,0.00,0.00,0.00,42.80,1
19,0.00,0.00,0.02,0.26,51.62,1
21,0.00,0.00,0.07,0.80,54.73,1
23,0.00,0.00,0.00,0.00,51.90,3
25,0.00,0.00,0.00,0.00,44.60,3
27,0.75,2.98,0.16,1.95,43.70,3
29,0.06,0.25,0.35,3.95,36.12,3
31,0.34,1.36,0.20,2.19,37.71,3
33,1.22,4.89,0.35,4.19,41.41,3
35,1.20,4.80,0.61,6.19,41.11,3
37,2.51,5.22,0.94,8.19,38.24,3
39,2.58,5.54,1.27,10.19,32.86,2
41,2.58,5.54,1.75,12.19,28.01,2
43,3.86,5.54,2.21,14.19,29.14,2
45,2.48,8.90,2.83,16.19,31.68,2
47,2.95,11.80,1.78,13.07,31.02,2
49,3.86,15.46,2.04,15.07,30.04,2
51,4.52,18.08,1.96,17.07,31.04,2
53,5.43,21.73,2.42,19.07,31.51,2
55,6.07,24.28,3.09,21.07,31.58,2
57,6.07,24.26,3.40,23.07,27.21,2
59,6.07,24.26,4.18,25.07,19.38,2
61,6.80,27.19,4.79,27.07,16.58,2
63,8.43,32.61,4.98,29.07,12.88,4
65,10.72,36.63,5.65,31.07,8.69,4
67,11.89,36.53,6.33,33.07,7.96,4
69,11.09,36.53,6.98,35.07,6.64,4
71,9.51,38.05,7.56,37.07,9.03,4
73,10.87,43.48,7.40,39.07,7.77,4
75,10.84,43.36,7.90,41.07,9.84,4
77,10.84,43.36,8.40,43.07,11.27,4
79,10.84,43.36,8.90,45.07,13.51,1
81,10.84,43.36,9.40,47.07,12.44,1
83,12.32,49.28,9.90,49.07,10.69,1
85,12.61,50.45,10.40,51.07,12.48,1
87,15.83,63.33,9.79,42.50,18.14,1
89,18.52,74.09,8.87,41.80,19.65,1
91,20.80,83.20,9.03,39.78,19.80,1
93,21.28,85.11,6.97,41.24,20.41,1
95,24.66,98.63,7.36,43.24,19.69,1
97,25.96,103.02,7.43,45.24,19.54,1
99,27.63,102.95,6.37,47.24,21.48,1
101,15.32,51.00,6.96,49.24,22.24,1
103,13.18,37.77,7.85,51.24,19.82,3
105,13.40,37.76,8.33,53.24,16.35,3
107,13.40,37.76,9.60,55.24,15.34,3
109,13.50,37.76,9.66,57.24,16.41,3
111,13.46,37.76,10.49,55.31,19.85,3
113,14.86,37.56,10.79,46.90,21.33,3
115,13.42,31.25,11.20,39.29,19.78,3
117,13.41,31.21,11.81,32.56,17.55,2
119,14.46,34.19,12.63,28.37,13.32,2
121,16.65,39.77,13.44,30.37,11.80,2
123,20.70,43.84,12.16,28.06,11.54,2
125,20.49,43.73,10.61,30.06,14.48,2
127,20.48,43.73,10.82,32.06,16.31,2
129,20.48,43.73,11.39,34.06,19.23,2
131,20.48,43.73,12.53,36.06,19.19,2
133,20.48,43.73,13.54,38.06,17.38,2
135,20.48,43.73,14.47,40.06,14.61,4
137,22.16,49.35,15.49,42.06,12.69,4
139,25.34,50.42,16.31,44.06,14.95,4
141,26.41,50.42,17.55,46.06,14.59,4
143,25.64,50.42,17.97,45.67,14.82,4
145,27.00,57.38,17.50,47.67,17.28,4
147,28.10,64.91,19.00,49.67,21.54,4
149,26.19,73.10,17.18,51.67,20.28,1
151,24.72,74.84,17.24,53.67,16.70,1
153,23.05,62.35,17.50,55.67,13.35,1
155,20.06,44.18,19.00,57.67,11.62,1
157,21.28,43.93,18.74,58.15,8.89,1
159,21.60,43.75,18.41,54.00,6.67,1
161,22.89,48.91,18.42,41.18,10.94,1
163,25.87,60.85,19.92,43.18,14.00,1
165,29.08,73.68,20.01,44.20,18.53,1
167,30.56,79.59,19.52,45.08,20.61,1
169,31.05,81.56,19.41,47.08,21.21,1
171,15.01,24.80,20.03,49.08,20.47,1
173,15.95,24.80,21.44,51.08,19.53,1
175,17.78,24.80,22.42,53.08,15.90,3
177,19.48,24.80,24.09,55.08,15.34,3
179,23.04,28.75,23.82,57.08,16.33,3
181,24.81,30.80,21.05,59.08,15.03,3
183,24.34,30.76,19.03,43.90,13.94,3
185,20.55,30.81,19.76,45.90,12.82,3
187,22.39,36.43,17.73,47.90,12.18,2
189,23.31,42.69,18.09,49.90,12.42,2
191,24.80,43.10,19.42,51.90,13.96,2
193,27.64,43.10,20.78,53.90,13.83,2
195,29.12,43.10,20.95,55.90,13.77,2
197,30.57,44.40,19.60,57.90,12.98,2
199,31.87,49.59,17.38,59.90,13.82,4
201,34.22,53.80,17.40,61.90,14.81,4
203,34.91,55.17,18.74,63.90,13.74,4
205,36.73,59.57,20.07,65.90,12.06,4
207,38.12,62.08,16.56,45.92,12.97,4
209,37.91,55.78,15.80,47.92,11.74,4
211,33.11,57.76,16.76,49.92,11.94,4
213,36.70,62.80,17.72,51.92,11.72,4
215,42.02,62.50,18.75,53.92,10.42,1
217,43.26,64.17,19.74,55.92,8.24,1
219,33.23,69.04,20.89,57.92,9.00,1
221,35.15,68.74,22.59,59.92,10.77,1
223,38.94,72.79,21.65,55.18,13.26,1
225,42.48,75.74,22.06,57.18,14.04,1
227,44.38,75.72,23.32,59.18,13.14,1
229,46.83,75.72,23.47,61.18,9.54,1
231,49.81,79.34,24.62,63.18,5.00,1
233,53.44,82.30,26.31,65.18,4.77,1
235,56.40,91.24,26.87,67.18,5.39,1
237,59.61,96.02,27.63,69.18,6.53,1
239,52.44,87.20,29.01,71.18,7.99,3
241,41.95,87.20,29.88,73.18,8.04,3
243,41.95,87.20,31.53,75.18,9.39,3
245,43.45,87.20,32.05,77.18,11.68,3
247,43.64,88.27,28.70,59.44,11.59,2
249,39.21,93.83,29.28,61.44,11.08,2
251,39.07,93.71,30.57,63.44,11.40,2
253,42.05,93.71,32.24,65.44,10.32,2
255,44.22,96.66,33.11,67.44,10.89,2
257,49.13,102.28,32.47,69.44,9.69,2
259,50.81,108.04,31.71,71.44,7.24,4
261,54.40,122.42,32.57,73.44,7.21,4
263,55.21,125.67,33.63,75.44,7.96,4
265,55.55,125.66,33.87,77.44,9.62,4
267,58.90,129.79,33.85,63.92,9.98,4
269,60.12,131.66,35.25,65.92,8.86,4
271,61.29,137.56,37.09,67.92,7.15,4
