time,queue_length
1.0,0.0
3.0,0.0
5.0,0.0
7.0,0.0
9.0,0.0
11.0,0.0
13.0,0.0
15.0,0.0
17.0,0.0
19.0,0.0
21.0,0.0
23.0,0.0
25.0,0.0
27.0,0.0
29.0,0.0
31.0,0.0
33.0,0.0
35.0,0.0
37.0,0.0
39.0,0.3875
41.0,0.0
43.0,0.0
45.0,0.0
47.0,0.0
49.0,0.0
51.0,0.0
53.0,0.0
55.0,0.0
57.0,0.0
59.0,0.0
61.0,0.0
63.0,0.0
65.0,0.0
67.0,0.0
69.0,1.4625
71.0,1.4
73.0,0.05
75.0,0.0
77.0,1.25
79.0,2.35
81.0,0.0
83.0,1.275
85.0,1.75
87.0,2.95
89.0,2.9
91.0,2.9
93.0,2.9
95.0,3.625
97.0,4.25
99.0,4.25
101.0,5.324999999999999
103.0,6.05
105.0,6.05
107.0,6.05
109.0,8.625
111.0,9.75
113.0,10.575
115.0,10.575
117.0,10.55
119.0,7.475
121.0,5.95
123.0,7.1625
125.0,8.837499999999999
127.0,10.712499999999999
129.0,8.837499999999999
131.0,4.4
133.0,2.7874999999999996
135.0,3.025
137.0,1.7250000000000003
139.0,4.125
141.0,7.4
143.0,8.1375
145.0,8.2625
147.0,9.475
149.0,11.95
151.0,12.475
153.0,12.475
155.0,13.1125
157.0,12.9125
159.0,11.5
161.0,12.7
163.0,16.55
165.0,18.6
167.0,19.5
169.0,21.9
171.0,21.85
173.0,23.4625
175.0,23.262500000000003
177.0,28.0
179.0,33.45
181.0,27.325
183.0,15.162500000000001
185.0,15.225000000000001
187.0,16.15
189.0,18.762500000000003
191.0,18.9625
193.0,19.4625
195.0,13.775000000000002
197.0,14.0125
199.0,14.912500000000001
201.0,13.5125
203.0,13.2
205.0,14.475000000000001
207.0,15.725000000000001
209.0,16.0
211.0,17.262500000000003
213.0,19.275000000000002
215.0,19.725
217.0,19.3
219.0,20.35
221.0,15.825000000000001
223.0,15.825000000000001
225.0,15.825000000000001
227.0,15.825000000000001
229.0,15.825000000000001
231.0,15.825000000000001
233.0,15.825
235.0,15.737499999999999
237.0,13.2875
239.0,12.337500000000002
241.0,14.287500000000001
243.0,17.3875
245.0,15.9625
247.0,18.1625
249.0,18.8375
251.0,18.8375
253.0,20.4375
255.0,23.2625
257.0,24.1875
259.0,20.900000000000002
261.0,22.275000000000002
263.0,22.525000000000002
265.0,25.85
267.0,25.225
269.0,23.800000000000004
271.0,23.8
273.0,23.300000000000004
275.0,22.174999999999997
277.0,22.549999999999997
279.0,20.950000000000003
281.0,19.587500000000002
283.0,22.8625
285.0,25.262500000000003
287.0,23.700000000000003
289.0,22.3625
291.0,21.387500000000003
293.0,16.9875
295.0,18.4375
297.0,19.225
299.0,21.625
301.0,23.75
303.0,24.3625
305.0,22.4
307.0,20.137500000000003
309.0,19.4
311.0,18.3125
313.0,20.412499999999998
315.0,22.6625
317.0,21.2125
319.0,22.4125
321.0,22.3
323.0,22.3
325.0,22.275
327.0,16.325000000000003
329.0,14.775
331.0,14.837499999999999
333.0,16.287499999999998
335.0,17.7125
337.0,12.825000000000001
339.0,13.375
341.0,14.525
343.0,14.5
345.0,16.125
347.0,17.375
349.0,17.112499999999997
351.0,18.7
353.0,19.2625
355.0,21.6625
357.0,23.3875
359.0,23.475
361.0,24.125000000000004
363.0,22.8625
365.0,20.8125
367.0,12.5625
369.0,12.862499999999999
371.0,13.5125
373.0,16.825
375.0,19.325
377.0,20.0625
379.0,20.7375
381.0,21.6125
383.0,22.4375
385.0,20.425
387.0,20.2125
389.0,20.4375
391.0,21.0125
393.0,22.0125
395.0,19.612499999999997
397.0,16.174999999999997
399.0,16.15
401.0,17.012500000000003
403.0,16.425
405.0,15.8
407.0,15.737499999999999
409.0,12.3375
411.0,12.3375
413.0,12.3375
415.0,12.3375
417.0,12.0625
419.0,8.9875
421.0,7.225
423.0,7.225
425.0,9.425
427.0,10.450000000000001
429.0,11.6625
431.0,12.3125
433.0,9.587499999999999
435.0,9.587499999999999
437.0,12.3375
439.0,12.8875
441.0,12.8125
443.0,12.075000000000001
445.0,9.075
447.0,6.05
449.0,9.025
451.0,8.925
453.0,8.850000000000001
455.0,8.5
457.0,8.162500000000001
459.0,8.2375
461.0,8.2125
463.0,7.112500000000001
465.0,5.9
467.0,6.6000000000000005
469.0,6.6000000000000005
471.0,6.65
473.0,7.9625
475.0,9.349999999999998
477.0,10.975000000000001
479.0,6.925
481.0,5.05
483.0,6.15
485.0,8.85
487.0,8.75
489.0,8.75
491.0,8.75
493.0,8.75
495.0,8.75
497.0,8.75
499.0,6.075
501.0,4.65
503.0,4.65
505.0,4.65
507.0,4.65
509.0,5.75
511.0,7.5375
513.0,9.137500000000001
515.0,11.287500000000001
517.0,11.1375
519.0,7.9375
521.0,5.8875
523.0,5.8875
525.0,6.475
527.0,8.725
529.0,8.675
531.0,8.75
533.0,7.875
535.0,7.55
537.0,4.5375
539.0,4.2
541.0,4.800000000000001
543.0,5.875
545.0,9.4
547.0,10.55
549.0,11.925
551.0,11.425
553.0,9.399999999999999
555.0,8.35
557.0,9.299999999999999
559.0,9.975
561.0,9.7875
563.0,11.25
565.0,13.675
567.0,14.4375
569.0,16.200000000000003
571.0,17.5
573.0,17.8375
