id,intersection_id,road_order_id,turn_ratio_template_id
1,1,1,4
2,1,2,4
3,1,3,4
4,1,4,4
5,2,1,4
6,2,2,4
7,2,3,4
8,2,4,4
9,3,1,4
10,3,2,4
11,3,3,4
12,3,4,4
13,4,1,4
14,4,2,4
15,4,3,4
16,4,4,4
17,5,1,4
18,5,2,4
19,5,3,4
20,5,4,4
21,6,1,4
22,6,2,4
23,6,3,4
24,6,4,4
25,7,1,4
26,7,2,4
27,7,3,4
28,7,4,4
29,8,1,4
30,8,2,4
31,8,3,4
32,8,4,4
33,9,1,4
34,9,2,4
35,9,3,4
36,9,4,4
37,10,1,4
38,10,2,4
39,10,3,4
40,10,4,4
41,11,1,4
42,11,2,4
43,11,3,4
44,11,4,4
45,12,1,4
46,12,2,4
47,12,3,4
48,12,4,4
49,13,1,4
50,13,2,4
51,13,3,4
52,13,4,4
53,14,1,4
54,14,2,4
55,14,3,4
56,14,4,4
57,15,1,4
58,15,2,4
59,15,3,4
60,15,4,4
61,16,1,4
62,16,2,4
63,16,3,4
64,16,4,4
65,17,1,4
66,17,2,4
67,17,3,4
68,17,4,4
69,18,1,4
70,18,2,4
71,18,3,4
72,18,4,4
73,19,1,4
74,19,2,4
75,19,3,4
76,19,4,4
77,20,1,4
78,20,2,4
79,20,3,4
80,20,4,4
