id,road_id,link_id,type
1,1,1,main
2,2,2,main
3,3,3,main
4,4,4,main
5,5,5,main
6,6,6,main
7,7,7,main
8,8,8,main
9,9,9,main
10,10,10,main
11,11,11,main
12,12,12,main
13,13,13,main
14,14,14,main
15,15,15,main
16,16,16,main
17,17,17,main
18,18,18,main
19,19,19,main
20,20,20,main
21,21,21,main
22,22,22,main
23,23,23,main
24,24,24,main
25,25,25,main
26,26,26,main
27,27,27,main
28,28,28,main
29,29,29,main
30,30,30,main
31,31,31,main
32,32,32,main
33,33,33,main
34,34,34,main
35,35,35,main
36,36,36,main
37,37,37,main
38,38,38,main
39,39,39,main
40,40,40,main
41,41,41,main
42,42,42,main
43,43,43,main
44,44,44,main
45,45,45,main
46,46,46,main
47,47,47,main
48,48,48,main
49,49,49,main
50,50,50,main
51,51,51,main
52,52,52,main
53,53,53,main
54,54,54,main
55,55,55,main
56,56,56,main
