id,intersection_id,road_id,type,order_id
1,1,1,input,1
2,1,2,output,1
3,1,3,input,2
4,1,4,output,2
5,1,5,input,3
6,1,6,output,3
7,1,7,input,4
8,1,8,output,4
9,1,9,input,5
10,1,10,output,5
11,2,11,input,1
12,2,12,output,1
13,2,13,input,2
14,2,14,output,2
15,2,15,input,3
16,2,16,output,3
17,2,17,input,4
18,2,18,output,4
19,2,19,input,5
20,2,20,output,5
21,3,21,input,1
22,3,22,output,1
23,3,23,input,2
24,3,24,output,2
25,3,25,input,3
26,3,26,output,3
27,3,27,input,4
28,3,28,output,4
29,3,29,input,5
30,3,30,output,5
31,4,31,input,1
32,4,32,output,1
33,4,33,input,2
34,4,34,output,2
35,4,35,input,3
36,4,36,output,3
37,4,37,input,4
38,4,38,output,4
39,4,39,input,5
40,4,40,output,5
41,5,41,input,1
42,5,42,output,1
43,5,43,input,2
44,5,44,output,2
45,5,45,input,3
46,5,46,output,3
47,5,47,input,4
48,5,48,output,4
49,5,49,input,5
50,5,50,output,5
51,6,51,input,1
52,6,52,output,1
53,6,53,input,2
54,6,54,output,2
55,6,55,input,3
56,6,56,output,3
57,6,57,input,4
58,6,58,output,4
59,6,59,input,5
60,6,60,output,5
61,7,61,input,1
62,7,62,output,1
63,7,63,input,2
64,7,64,output,2
65,7,65,input,3
66,7,66,output,3
67,7,67,input,4
68,7,68,output,4
69,7,69,input,5
70,7,70,output,5
71,8,71,input,1
72,8,72,output,1
73,8,73,input,2
74,8,74,output,2
75,8,75,input,3
76,8,76,output,3
77,8,77,input,4
78,8,78,output,4
79,8,79,input,5
80,8,80,output,5
81,9,81,input,1
82,9,82,output,1
83,9,83,input,2
84,9,84,output,2
85,9,85,input,3
86,9,86,output,3
87,9,87,input,4
88,9,88,output,4
89,9,89,input,5
90,9,90,output,5
