id,road_id,link_id,type
1,1,1,main
2,2,2,main
3,3,3,main
4,4,4,main
5,5,5,main
6,6,6,main
7,7,7,main
8,8,8,main
9,9,9,main
10,10,10,main
11,1,11,right
12,3,12,right
13,5,13,right
14,7,14,right
15,9,15,right
16,11,16,
17,12,17,
18,13,18,
19,14,19,
20,15,20,
21,16,21,
22,17,22,
23,18,23,
24,19,24,
25,20,25,
26,11,26,
27,13,27,
28,15,28,
29,17,29,
30,19,30,
31,21,31,
32,22,32,
33,23,33,
34,24,34,
35,25,35,
36,26,36,
37,27,37,
38,28,38,
39,29,39,
40,30,40,
41,21,41,
42,23,42,
43,25,43,
44,27,44,
45,29,45,
46,31,46,
47,32,47,
48,33,48,
49,34,49,
50,35,50,
51,36,51,
52,37,52,
53,38,53,
54,39,54,
55,40,55,
56,31,56,
57,33,57,
58,35,58,
59,37,59,
60,39,60,
61,41,61,
62,42,62,
63,43,63,
64,44,64,
65,45,65,
66,46,66,
67,47,67,
68,48,68,
69,49,69,
70,50,70,
71,41,71,
72,43,72,
73,45,73,
74,47,74,
75,49,75,
76,51,76,
77,52,77,
78,53,78,
79,54,79,
80,55,80,
81,56,81,
82,57,82,
83,58,83,
84,59,84,
85,60,85,
86,51,86,
87,53,87,
88,55,88,
89,57,89,
90,59,90,
91,61,91,
92,62,92,
93,63,93,
94,64,94,
95,65,95,
96,66,96,
97,67,97,
98,68,98,
99,69,99,
100,70,100,
101,61,101,
102,63,102,
103,65,103,
104,67,104,
105,69,105,
106,71,106,
107,72,107,
108,73,108,
109,74,109,
110,75,110,
111,76,111,
112,77,112,
113,78,113,
114,79,114,
115,80,115,
116,71,116,
117,73,117,
118,75,118,
119,77,119,
120,79,120,
121,81,121,
122,82,122,
123,83,123,
124,84,124,
125,85,125,
126,86,126,
127,87,127,
128,88,128,
129,89,129,
130,90,130,
131,81,131,
132,83,132,
133,85,133,
134,87,134,
135,89,135,
