id,ratio1,ratio2,ratio3,ratio4,description
1,1,1,1,1,The same turning ratio in all directions.
2,3,1,1,1,direction 1 is high.
3,1,3,1,1,direction 2 is high.
4,1,1,3,1,direction 3 Is high.
5,1,1,1,3,direction 4 is high.
6,3,3,1,1,direction 1 and 2 is high.
7,3,1,3,1,direction 1 and 3 is high.
8,3,1,1,3,direction 1 and 4 is high.
9,1,3,3,1,direction 2 and 3 is high.
10,1,3,1,3,direction 2 and 4 is high.
11,1,1,3,3,direction 3 and 4 is high.
12,1,3,3,3,direction 1 is low.
13,3,1,3,3,direction 2 is low.
14,3,3,1,3,direction 3 is low.
15,3,3,3,1,direction 4 is low.
