id,intersection_id,road_id,type,order_id
1,1,1,input,4
2,1,2,output,2
3,1,3,output,4
4,1,4,input,2
5,1,5,input,1
6,1,6,output,3
7,1,7,output,1
8,1,8,input,3
9,2,9,input,4
10,2,10,output,2
11,2,11,output,4
12,2,12,input,2
13,2,13,input,1
14,2,14,output,3
15,2,15,output,1
16,2,16,input,3
17,3,17,input,4
18,3,18,output,2
19,3,19,output,4
20,3,20,input,2
21,3,21,input,1
22,3,22,output,3
23,3,23,output,1
24,3,24,input,3
25,4,25,input,4
26,4,26,output,2
27,4,27,output,4
28,4,28,input,2
29,4,29,input,1
30,4,30,output,3
31,4,31,output,1
32,4,32,input,3
33,5,33,input,4
34,5,34,output,2
35,5,35,output,4
36,5,36,input,2
37,5,37,input,1
38,5,38,output,3
39,5,39,output,1
40,5,40,input,3
41,6,41,input,4
42,6,42,output,2
43,6,43,output,4
44,6,44,input,2
45,6,45,input,1
46,6,46,output,3
47,6,47,output,1
48,6,48,input,3
49,7,49,input,4
50,7,50,output,2
51,7,51,output,4
52,7,52,input,2
53,7,53,input,1
54,7,54,output,3
55,7,55,output,1
56,7,56,input,3
57,8,57,input,4
58,8,58,output,2
59,8,59,output,4
60,8,60,input,2
61,8,61,input,1
62,8,62,output,3
63,8,63,output,1
64,8,64,input,3
65,9,65,input,4
66,9,66,output,2
67,9,67,output,4
68,9,68,input,2
69,9,69,input,1
70,9,70,output,3
71,9,71,output,1
72,9,72,input,3
73,10,73,input,4
74,10,74,output,2
75,10,75,output,4
76,10,76,input,2
77,10,77,input,1
78,10,78,output,3
79,10,79,output,1
80,10,80,input,3
81,11,81,input,4
82,11,82,output,2
83,11,83,output,4
84,11,84,input,2
85,11,85,input,1
86,11,86,output,3
87,11,87,output,1
88,11,88,input,3
89,12,89,input,4
90,12,90,output,2
91,12,91,output,4
92,12,92,input,2
93,12,93,input,1
94,12,94,output,3
95,12,95,output,1
96,12,96,input,3
97,13,97,input,4
98,13,98,output,2
99,13,99,output,4
100,13,100,input,2
101,13,101,input,1
102,13,102,output,3
103,13,103,output,1
104,13,104,input,3
105,14,105,input,4
106,14,106,output,2
107,14,107,output,4
108,14,108,input,2
109,14,109,input,1
110,14,110,output,3
111,14,111,output,1
112,14,112,input,3
113,15,113,input,4
114,15,114,output,2
115,15,115,output,4
116,15,116,input,2
117,15,117,input,1
118,15,118,output,3
119,15,119,output,1
120,15,120,input,3
121,16,121,input,4
122,16,122,output,2
123,16,123,output,4
124,16,124,input,2
125,16,125,input,1
126,16,126,output,3
127,16,127,output,1
128,16,128,input,3
129,17,129,input,4
130,17,130,output,2
131,17,131,output,4
132,17,132,input,2
133,17,133,input,1
134,17,134,output,3
135,17,135,output,1
136,17,136,input,3
137,18,137,input,4
138,18,138,output,2
139,18,139,output,4
140,18,140,input,2
141,18,141,input,1
142,18,142,output,3
143,18,143,output,1
144,18,144,input,3
145,19,145,input,4
146,19,146,output,2
147,19,147,output,4
148,19,148,input,2
149,19,149,input,1
150,19,150,output,3
151,19,151,output,1
152,19,152,input,3
153,20,153,input,4
154,20,154,output,2
155,20,155,output,4
156,20,156,input,2
157,20,157,input,1
158,20,158,output,3
159,20,159,output,1
160,20,160,input,3
