id,road,intersection,type,direction
1,1,1,input,west
2,2,1,output,east
3,2,2,input,west
4,3,2,output,east
5,3,3,input,west
6,4,3,output,east
7,5,1,output,west
8,6,1,input,east
9,6,2,output,west
10,7,2,input,east
11,7,3,output,west
12,8,3,input,east
13,9,4,input,west
14,10,4,output,east
15,10,5,input,west
16,11,5,output,east
17,11,6,input,west
18,12,6,output,east
19,13,4,output,west
20,14,4,input,east
21,14,5,output,west
22,15,5,input,east
23,15,6,output,west
24,16,6,input,east
25,17,7,input,west
26,18,7,output,east
27,18,8,input,west
28,19,8,output,east
29,19,9,input,west
30,20,9,output,east
31,21,7,output,west
32,22,7,input,east
33,22,8,output,west
34,23,8,input,east
35,23,9,output,west
36,24,9,input,east
37,25,1,input,north
38,26,1,output,south
39,26,4,input,north
40,27,4,output,south
41,27,7,input,north
42,28,7,output,south
43,29,1,output,north
44,30,1,input,south
45,30,4,output,north
46,31,4,input,south
47,31,7,output,north
48,32,7,input,south
49,33,2,input,north
50,34,2,output,south
51,34,5,input,north
52,35,5,output,south
53,35,8,input,north
54,36,8,output,south
55,37,2,output,north   
56,38,2,input,south
57,38,5,output,north
58,39,5,input,south
59,39,8,output,north
60,40,8,input,south
61,41,3,input,north
62,42,3,output,south
63,42,6,input,north
64,43,6,output,south
65,43,9,input,north
66,44,9,output,south
67,45,3,output,north
68,46,3,input,south
69,46,6,output,north
70,47,6,input,south
71,47,9,output,north
72,48,9,input,south
