id,network_id,reward_id,num_lanes,num_vehicles,duration_steps,buffer_size,state_id,data_augmentation_flg,gamma,done_reward
1,1,2,2222,5,5,300000,1,0,0.9,-50
2,1,2,3333,5,5,300000,1,0,0.9,-50
3,1,2,2222,5,5,200000,2,0,0.9,-50
4,1,2,2222,5,5,200000,2,1,0.9,-50
5,1,3,2222,5,5,200000,2,1,0.9,-50
6,1,4,2222,5,5,200000,2,1,0.9,-50
7,1,4,2222,5,5,200000,2,1,0.95,-50
8,1,2,2222,5,5,200000,2,1,0.95,-50
9,1,4,2222,5,5,300000,2,1,0.9,-50
10,1,2,2222,5,5,300000,2,1,0.95,-50
11,1,5,2222,5,5,200000,2,1,0.95,-50
12,1,2,2222,20,5,200000,2,1,0.95,-50
