id,inflows_id,rel_flows_id,queue_length,max_queue_length,delay_time,speed
1,1,1,32.4,99,17.7,27.2
2,1,2,27.8,105.4,18.7,28.8
3,1,3,38.3,151.9,23.1,26.3
4,1,4,37,165.9,19,26.4
5,1,5,43.1,118,21,24.1
6,1,6,46.2,125.7,22,23.3
7,1,7,36.7,133.7,21.4,26.3
8,2,1,62.4,200.4,25.2,22.7
9,2,2,36.3,176.5,19.4,27
10,2,3,49.9,199.5,21.9,24.5
11,2,4,60.4,202.9,22,23.1
12,2,5,54.5,200.5,25.6,22.1
13,2,6,73.9,203.3,32.2,19.1
14,2,7,54.4,201.6,24.6,23.6
15,3,1,33.7,173.1,18.6,27.7
16,3,2,52.6,200.9,27.5,23.7
17,3,3,65.7,201,30.5,22.2
18,3,4,41.6,189,19.1,25.7
19,3,5,28.3,109.1,15.6,29.1
20,3,6,28.2,141,15.4,28.7
21,3,7,44.6,196.9,23.8,25.7
